artist,weeks,,,,,,,
Jack Scott,138,,,,,,,
Frankie Valli,138,,,,,,,
Donovan,137,,,,,,,
Night Ranger,137,,,,,,,
The Turtles,137,,,,,,,
The Manhattans,137,,,,,,,
Brett Eldredge,137,,,,,,,
Joe Cocker,136,,,,,,,
Chaka Khan,135,,,,,,,
Peter Gabriel,135,,,,,,,
98 Degrees,135,,,,,,,
Lee Ann Womack,135,,,,,,,
Prince And The Revolution,135,,,,,,,
Atlantic Starr,135,,,,,,,
Firefall,135,,,,,,,
Bill Black's Combo,135,,,,,,,
Jagged Edge,135,,,,,,,
Ricky Martin,134,,,,,,,
Puddle Of Mudd,134,,,,,,,
Maren Morris,134,,,,,,,
Tears For Fears,134,,,,,,,
Billy Preston,134,,,,,,,
Ludacris,134,,,,,,,
Montell Jordan,134,,,,,,,
Rick Astley,134,,,,,,,
Sammy Hagar,133,,,,,,,
Leo Sayer,133,,,,,,,
Kelsea Ballerini,132,,,,,,,
Clarence Carter,132,,,,,,,
Jon Pardi,132,,,,,,,
The Killers,131,,,,,,,
Harry Styles,131,,,,,,,
Seals & Crofts,131,,,,,,,
The Cure,131,,,,,,,
Bonnie Raitt,131,,,,,,,
Freddy Cannon,130,,,,,,,
The Staple Singers,130,,,,,,,
Little Anthony And The Imperials,130,,,,,,,
Shai,130,,,,,,,
Brantley Gilbert,130,,,,,,,
Paul Revere & The Raiders Featuring Mark Lindsay,129,,,,,,,
Tyrese,129,,,,,,,
Janet,129,,,,,,,
Ringo Starr,129,,,,,,,
Tommy Edwards,128,,,,,,,
Xscape,128,,,,,,,
Jim Croce,128,,,,,,,
Paul Young,128,,,,,,,
Wilson Phillips,127,,,,,,,
Rita Coolidge,127,,,,,,,
Dino,127,,,,,,,
Scotty McCreery,127,,,,,,,
The Coasters,126,,,,,,,
Meat Loaf,126,,,,,,,
Kenny G,126,,,,,,,
Boston,125,,,,,,,
Ike & Tina Turner,125,,,,,,,
Jessica Simpson,125,,,,,,,
Jade,125,,,,,,,
Chic,125,,,,,,,
Cardi B,125,,,,,,,
Alessia Cara,124,,,,,,,
Three Days Grace,124,,,,,,,
Blessid Union Of Souls,124,,,,,,,
5 Seconds Of Summer,124,,,,,,,
Chris Cagle,124,,,,,,,
Real McCoy,124,,,,,,,
Gino Vannelli,123,,,,,,,
The Osmonds,123,,,,,,,
Roger Miller,123,,,,,,,
Gordon Lightfoot,123,,,,,,,
Shalamar,123,,,,,,,
Lorde,123,,,,,,,
John Cougar,123,,,,,,,
Pet Shop Boys,123,,,,,,,
CeCe Peniston,123,,,,,,,
Isaac Hayes,123,,,,,,,
Yes,122,,,,,,,
Rick James,122,,,,,,,
Tyrone Davis,122,,,,,,,
Poco,121,,,,,,,
Belinda Carlisle,121,,,,,,,
Ray Parker Jr.,121,,,,,,,
The Mamas & The Papas,121,,,,,,,
John Legend,121,,,,,,,
Nas,121,,,,,,,
England Dan & John Ford Coley,120,,,,,,,
Clyde McPhatter,120,,,,,,,
Rae Sremmurd,120,,,,,,,
Joan Jett & the Blackhearts,120,,,,,,,
Naughty By Nature,120,,,,,,,
The Human League,119,,,,,,,
Pablo Cruise,119,,,,,,,
Jim Reeves,119,,,,,,,
Shakira,119,,,,,,,
Kane Brown,119,,,,,,,
Wham!,119,,,,,,,
Maxwell,119,,,,,,,
Akon,119,,,,,,,
Silk,118,,,,,,,
Billy Squier,118,,,,,,,
Steve Lawrence,118,,,,,,,
Reba,118,,,,,,,
"112,117",,,,,,,,
The Lovin' Spoonful,117,,,,,,,
Natasha Bedingfield,117,,,,,,,
Chris Stapleton,117,,,,,,,
Next,117,,,,,,,
Peter Frampton,117,,,,,,,
Fetty Wap,116,,,,,,,
Henry Mancini And His Orchestra,116,,,,,,,
All-4-One,116,,,,,,,
Brian McKnight,116,,,,,,,
Karyn White,116,,,,,,,
Billy Vaughn And His Orchestra,116,,,,,,,
Weezer,115,,,,,,,
P.M. Dawn,115,,,,,,,
Mumford & Sons,115,,,,,,,
The Delfonics,114,,,,,,,
Dinah Washington,114,,,,,,,
Gavin DeGraw,114,,,,,,,
Eli Young Band,114,,,,,,,
Megan Thee Stallion,114,,,,,,,
Peter And Gordon,114,,,,,,,
Mario,113,,,,,,,
Hi-Five,113,,,,,,,
Bone Thugs-N-Harmony,113,,,,,,,
The Association,113,,,,,,,
Bill Withers,113,,,,,,,
Steppenwolf,113,,,,,,,
Vic Dana,113,,,,,,,
John Lennon,113,,,,,,,
The Outfield,112,,,,,,,
The Whispers,112,,,,,,,
The Ventures,112,,,,,,,
Dee Clark,112,,,,,,,
Firehouse,112,,,,,,,
Roberta Flack,112,,,,,,,
Busta Rhymes,112,,,,,,,
Wang Chung,112,,,,,,,
Supertramp,112,,,,,,,
Duane Eddy His Twangy Guitar And The Rebels,112,,,,,,,
Simply Red,112,,,,,,,
Warrant,111,,,,,,,
The Smashing Pumpkins,111,,,,,,,
Marc Anthony,111,,,,,,,
The Fixx,111,,,,,,,
Migos,111,,,,,,,
Deborah Cox,111,,,,,,,
The Fleetwoods,110,,,,,,,
Sara Bareilles,110,,,,,,,
Hunter Hayes,110,,,,,,,
Gin Blossoms,110,,,,,,,
The Intruders,110,,,,,,,
Debarge,109,,,,,,,
Hank Ballard And The Midnighters,109,,,,,,,
Sweet Sensation,109,,,,,,,
Crystal Gayle,109,,,,,,,
Selena Gomez & The Scene,109,,,,,,,
The Vogues,108,,,,,,,
Bananarama,108,,,,,,,
Alanis Morissette,108,,,,,,,
Mint Condition,108,,,,,,,
Cinderella,108,,,,,,,
Alabama,108,,,,,,,
Bruce Hornsby & The Range,108,,,,,,,
Andy Kim,107,,,,,,,
Avant,107,,,,,,,
Chuck Jackson,107,,,,,,,
Wiz Khalifa,107,,,,,,,
Michelle Branch,107,,,,,,,
Easton Corbin,107,,,,,,,
Randy Houser,107,,,,,,,
Harold Melvin And The Blue Notes,107,,,,,,,
The Script,107,,,,,,,
Eddy Arnold,106,,,,,,,
Bachman-Turner Overdrive,106,,,,,,,
Milli Vanilli,106,,,,,,,
Nilsson,106,,,,,,,
Papa Roach,106,,,,,,,
Lewis Capaldi,106,,,,,,,
Go-Go's,105,,,,,,,
Sugar Ray,105,,,,,,,
John Waite,105,,,,,,,
Bay City Rollers,105,,,,,,,
No Doubt,104,,,,,,,
Go West,104,,,,,,,
Nelly Furtado,104,,,,,,,
Thirty Eight Special,104,,,,,,,
Darryl Worley,104,,,,,,,
Whitesnake,103,,,,,,,
Men At Work,103,,,,,,,
The Notorious B.I.G.,103,,,,,,,
Bell Biv DeVoe,103,,,,,,,
Ferrante & Teicher,103,,,,,,,
Audioslave,103,,,,,,,
The Byrds,102,,,,,,,
ABC,102,,,,,,,
The Searchers,101,,,,,,,
Paul McCartney And Wings,101,,,,,,,
Mike + The Mechanics,101,,,,,,,
Kylie Minogue,101,,,,,,,
John Cafferty & The Beaver Brown Band,101,,,,,,,
Rufus Featuring Chaka Khan,101,,,,,,,
Tracie Spencer,101,,,,,,,
Don McLean,101,,,,,,,
Wayne Newton,101,,,,,,,
The Main Ingredient,101,,,,,,,
Musiq,101,,,,,,,
Johnny Nash,100,,,,,,,
Patti LaBelle,100,,,,,,,
Talking Heads,100,,,,,,,
Led Zeppelin,100,,,,,,,
Jimmy Buffett,100,,,,,,,
Avicii,100,,,,,,,
Freddie Jackson,100,,,,,,,
Amber,99,,,,,,,
Nancy Sinatra,99,,,,,,,
Carla Thomas,99,,,,,,,
Sam & Dave,99,,,,,,,
Willie Nelson,98,,,,,,,
Rod Wave,98,,,,,,,
Lou Christie,98,,,,,,,
Percy Sledge,98,,,,,,,
Barenaked Ladies,98,,,,,,,
Linda Scott,98,,,,,,,
Robbie Nevil,98,,,,,,,
10,000 Maniacs,97,,,,,,
Tiffany,97,,,,,,,
Heavy D & The Boyz,97,,,,,,,
Leif Garrett,97,,,,,,,
Fantasia,97,,,,,,,
Total,97,,,,,,,
The Box Tops,97,,,,,,,
Jimmy Clanton,97,,,,,,,
Crosby, Stills & Nash,97,,,,,,
Jackie DeShannon,96,,,,,,,
Candi Staton,96,,,,,,,
Will Smith,96,,,,,,,
The Animals,96,,,,,,,
Samantha Fox,96,,,,,,,
Robert John,96,,,,,,,
Marvin Gaye & Tammi Terrell,96,,,,,,,
The Dramatics,96,,,,,,,
Grand Funk Railroad,96,,,,,,,
Michael Buble,96,,,,,,,
Judy Collins,96,,,,,,,
Major Lance,96,,,,,,,
Sean Kingston,96,,,,,,,
Charlie Puth,95,,,,,,,
The Olympics,95,,,,,,,
Donell Jones,95,,,,,,,
Tom Petty,95,,,,,,,
Lisa Stansfield,95,,,,,,,
Rare Earth,95,,,,,,,
The Sylvers,94,,,,,,,
Donny & Marie Osmond,94,,,,,,,
Hot Chocolate,94,,,,,,,
Terri Clark,94,,,,,,,
Fabian,94,,,,,,,
My Chemical Romance,94,,,,,,,
Andy Griggs,94,,,,,,,
702,94,,,,,,,
Dire Straits,93,,,,,,,
Gloria Estefan & Miami Sound Machine,93,,,,,,,
Seether,93,,,,,,,
The Tokens,93,,,,,,,
The Emotions,93,,,,,,,
Bobby Sherman,93,,,,,,,
D.J. Jazzy Jeff & The Fresh Prince,93,,,,,,,
Surface,93,,,,,,,
Miguel,93,,,,,,,
Dave Matthews Band,92,,,,,,,
Yvonne Elliman,92,,,,,,,
Tommy James,92,,,,,,,
Edwin Starr,92,,,,,,,
Diana Ross & The Supremes,92,,,,,,,
Bert Kaempfert And His Orchestra,92,,,,,,,
Gary U.S. Bonds,92,,,,,,,
Tracy Byrd,92,,,,,,,
Mya,92,,,,,,,
LaVern Baker,92,,,,,,,
Kris Kross,92,,,,,,,
Van Morrison,92,,,,,,,
Childish Gambino,91,,,,,,,
Pitbull,91,,,,,,,
Snoop Dogg,91,,,,,,,
Incubus,91,,,,,,,
Weird Al Yankovic,91,,,,,,,
Neon Trees,91,,,,,,,
Bad English,91,,,,,,,
Zhane,91,,,,,,,
The Young Rascals,91,,,,,,,
H-Town,91,,,,,,,
Jim Stafford,91,,,,,,,
Marv Johnson,91,,,,,,,
38 Special,91,,,,,,,
Roger Williams,90,,,,,,,
La Bouche,90,,,,,,,
Bryson Tiller,90,,,,,,,
Cathy Dennis,90,,,,,,,
Johnny Horton,90,,,,,,,
Da Brat,90,,,,,,,
Pop Smoke,90,,,,,,,
Joni Mitchell,90,,,,,,,
Blood, Sweat & Tears,89,,,,,,
The Lumineers,89,,,,,,,
Ambrosia,89,,,,,,,
Drake & Future,89,,,,,,,
Curtis Mayfield,89,,,,,,,
Natalie Merchant,89,,,,,,,
Lloyd Price and His Orchestra,89,,,,,,,
Andy Grammer,89,,,,,,,
Jerry Wallace,89,,,,,,,
Sophie B. Hawkins,89,,,,,,,
Sweet,89,,,,,,,
The Crests,88,,,,,,,
The B-52s,88,,,,,,,
Winger,88,,,,,,,
The Motels,88,,,,,,,
Foghat,88,,,,,,,
Simple Minds,88,,,,,,,
Shanice,88,,,,,,,
System Of A Down,88,,,,,,,
Dion & The Belmonts,88,,,,,,,
Keyshia Cole,88,,,,,,,
Mark Wills,88,,,,,,,
Grand Funk,88,,,,,,,
